VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE7.x, ATTRIBUTE7.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w
0, 36217,  25.18552,  5.0356,  119.93029,  0.98425, -0.05512,  0.17323,  1.00,  0.83465, -0.09449, -0.54331, -1.00,  0.88549,  0.72076, -4.95940E-16,  1.00,  0.88549,  0.72076,  1.00,  1.00,  1.00,  0.00, 16, 30, 0, 0, 0, 0, 0, 0,  0.96078,  0.03922,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1, 36218,  25.39274,  5.16104,  119.86845,  0.82677,  0.44094, -0.34646,  1.00,  0.82677,  0.10236, -0.55118, -1.00,  0.88624,  0.72127, -4.95940E-16,  1.00,  0.88624,  0.72127,  1.00,  1.00,  1.00,  0.69804, 16, 30, 11, 0, 0, 0, 0, 0,  0.94118,  0.03922,  0.01961,  0.00,  0.00,  0.00,  0.00,  0.00
2, 36219,  24.5263,  4.74846,  118.94823,  0.67717,  0.33858, -0.65354,  1.00,  0.84252,  0.22835, -0.48031, -1.00,  0.88549,  0.7273, -4.95940E-16,  1.00,  0.88549,  0.7273,  1.00,  1.00,  1.00,  0.40, 16, 23, 30, 0, 0, 0, 0, 0,  0.72157,  0.25882,  0.01961,  0.00,  0.00,  0.00,  0.00,  0.00
3, 36220,  0.28094, -13.31853,  163.90547,  0.16535, -0.13386,  0.97638,  1.00,  0.10236, -0.11024,  0.99213, -1.00,  0.65186,  0.43877, -4.95940E-16,  1.00,  0.65186,  0.43877,  1.00,  1.00,  1.00,  0.60, 0, 1, 0, 0, 0, 0, 0, 0,  0.50588,  0.49412,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
4, 36221,  0.00, -13.31853,  163.90547,  0.00, -0.17323,  0.98425,  1.00,  0.00, -0.08661,  1.00, -1.00,  0.65039,  0.43877, -4.95940E-16,  1.00,  0.65039,  0.43877,  1.00,  1.00,  1.00,  0.60, 0, 1, 0, 0, 0, 0, 0, 0,  0.50196,  0.49804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
5, 36222,  0.00, -12.6486,  163.6642,  0.00, -0.49606,  0.86614,  1.00,  0.00,  0.00,  1.00,  1.00,  0.65039,  0.43762, -4.95940E-16,  1.00,  0.65039,  0.43762,  0.49804,  1.00,  1.00,  0.00, 0, 1, 0, 0, 0, 0, 0, 0,  0.50196,  0.49804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
6, 36223,  26.9603, -1.94973,  133.88968,  0.99213,  0.0315, -0.14961,  1.00,  0.91339,  0.33071, -0.24409,  1.00,  0.85083,  0.64339,  0.98422,  1.98789,  0.85083,  0.64339,  0.49804,  1.00,  1.00,  0.49804, 34, 6, 31, 0, 0, 0, 0, 0,  0.46667,  0.44706,  0.08627,  0.00,  0.00,  0.00,  0.00,  0.00
7, 36224,  26.34425,  1.03398,  133.27646,  0.88189,  0.38583, -0.27559,  1.00,  0.89764,  0.37008, -0.25197, -1.00,  0.86523,  0.6467,  0.98422,  1.98789,  0.86523,  0.6467,  0.49804,  1.00,  1.00,  0.49804, 30, 34, 6, 31, 0, 0, 0, 0,  0.50588,  0.29804,  0.16863,  0.02745,  0.00,  0.00,  0.00,  0.00
8, 36225,  26.67052, -1.96624,  131.87338,  0.9685,  0.08661, -0.22835,  1.00,  0.91339,  0.32283, -0.25984,  1.00,  0.85083,  0.65515,  0.98422,  1.98789,  0.85083,  0.65515,  0.49804,  1.00,  1.00,  0.49804, 34, 30, 32, 0, 0, 0, 0, 0,  0.72157,  0.23922,  0.03922,  0.00,  0.00,  0.00,  0.00,  0.00
9, 36226,  12.0927,  11.34576,  150.09232,  0.30709,  0.80315,  0.51181,  1.00,  0.25197,  0.77165,  0.58268,  1.00,  0.96704,  0.53619,  0.98422,  1.98789,  0.96704,  0.53619,  0.49804,  1.00,  1.00,  0.24706, 4, 7, 5, 6, 0, 0, 0, 0,  0.57647,  0.20,  0.17647,  0.04706,  0.00,  0.00,  0.00,  0.00
