VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE7.x, ATTRIBUTE7.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w
0, 24964,  20.06196,  1.98017,  134.12027,  0.73228,  0.65354,  0.18898,  1.00,  0.69291,  0.69291,  0.2126,  1.00,  0.68125,  0.86294,  1.00,  1.00,  0.79969,  0.86294,  0.49804,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  0.51765,  0.48235,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1, 24965,  19.56763,  1.98121,  134.10088,  0.01575,  0.99213,  0.14173,  1.00,  0.00787,  0.98425,  0.18898,  1.00,  0.66803,  0.86285,  1.00,  1.00,  0.81291,  0.86285,  0.49804,  1.00,  1.00,  0.00, 0, 1, 0, 0, 0, 0, 0, 0,  0.5098,  0.4902,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2, 24966,  20.16146,  2.01609,  133.57251,  0.75591,  0.62992,  0.1811,  1.00,  0.37795,  0.92126,  0.12598,  1.00,  0.68125,  0.87129,  1.00,  1.00,  0.79969,  0.87129,  0.49804,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  0.51765,  0.48235,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3, 24967,  19.67049,  2.01932,  133.51984,  0.00,  1.00,  0.06299,  1.00,  0.00,  1.00,  0.06299,  1.00,  0.66803,  0.87145,  1.00,  1.00,  0.81291,  0.87145,  0.49804,  1.00,  1.00,  0.00, 0, 1, 0, 0, 0, 0, 0, 0,  0.51373,  0.48627,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
4, 24966,  20.16146,  2.01609,  133.57251,  0.75591,  0.62992,  0.1811,  1.00,  0.37795,  0.92126,  0.12598,  1.00,  0.68125,  0.87129,  1.00,  1.00,  0.79969,  0.87129,  0.49804,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  0.51765,  0.48235,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
5, 24965,  19.56763,  1.98121,  134.10088,  0.01575,  0.99213,  0.14173,  1.00,  0.00787,  0.98425,  0.18898,  1.00,  0.66803,  0.86285,  1.00,  1.00,  0.81291,  0.86285,  0.49804,  1.00,  1.00,  0.00, 0, 1, 0, 0, 0, 0, 0, 0,  0.5098,  0.4902,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
6, 24968,  20.38556,  0.98836,  134.05743,  0.88189,  0.44882,  0.16535,  1.00,  0.97638,  0.1811,  0.14173, -1.00,  0.69441,  0.86295,  1.00,  1.00,  0.78653,  0.86295,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  0.63922,  0.36078,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
7, 24969,  20.06196,  1.98017,  134.12027,  0.73228,  0.65354,  0.18898,  1.00,  0.69291,  0.69291,  0.2126,  1.00,  0.68125,  0.86294,  1.00,  1.00,  0.79969,  0.86294,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  0.51765,  0.48235,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
8, 24970,  20.48547,  1.01409,  133.50592,  0.88189,  0.4252,  0.1811,  1.00,  0.93701,  0.29134,  0.18898, -1.00,  0.69372,  0.87134,  1.00,  1.00,  0.78722,  0.87134,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  0.63922,  0.36078,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
9, 24971,  20.16146,  2.01609,  133.57251,  0.75591,  0.62992,  0.1811,  1.00,  0.37795,  0.92126,  0.12598,  1.00,  0.68125,  0.87129,  1.00,  1.00,  0.79969,  0.87129,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  0.51765,  0.48235,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
